家	傢
价	價
诃	訶
贾	賈
轲	軻
镓	鎵
驾	駕
却	卻
珏	玨
脚	腳
壳	殼
悫	愨
搁	擱
觉	覺
阁	閣
奸	姦
杆	桿
干	榦
干	幹
秆	稈
赶	趕
垦	墾
恳	懇
悭	慳
拣	揀
涧	澗
痫	癇
简	簡
羟	羥
艰	艱
谏	諫
间	間
龈	齦
减	減
尴	尷
监	鑑
监	監
硷	鹼
碱	堿
绀	紺
鉴	鑒
阚	闞
龛	龕
钾	鉀
闸	閘
强	彊
姜	薑
襁	繈
强	強
冈	岡
刚	剛
岗	崗
纲	綱
绛	絳
绦	絳
缰	韁
讲	講
钢	鋼
镪	鏹
盖	蓋
个	個
个	箇
凯	凱
剀	剴
垲	塏
开	開
忾	愾
恺	愷
钙	鈣
铠	鎧
锴	鍇
赓	賡
铿	鏗
据	據
举	舉
榉	櫸
讵	詎
钜	鉅
锯	鋸
干	乾
键	鍵
骞	騫
骞	鶱
杰	傑
俭	儉
剑	劍
捡	撿
检	檢
睑	瞼
脸	臉
钤	鈐
击	擊
缂	緙
缴	繳
觋	覡
阒	闃
坚	堅
牵	牽
笕	筧
纤	縴
绢	絹
缱	繾
茧	繭
见	見
谴	譴
鲣	鰹
鹃	鵑
决	決
洁	潔
结	結
诀	訣
阕	闋
缣	縑
谦	謙
钳	鉗
鹣	鶼
郏	郟
倾	傾
刭	剄
劲	勁
垧	坰
庆	慶
弪	弳
径	徑
惊	驚
氢	氫
泾	涇
烃	烴
琼	瓊
痉	痙
竞	競
经	經
绠	綆
胫	脛
茎	莖
茕	煢
轻	輕
迳	逕
镜	鏡
顷	頃
颈	頸
鲠	鯁
鲸	鯨
系	係
系	繫
启	啓
启	啟
届	屆
继	繼
蓟	薊
计	計
诫	誡
锲	鍥
阶	階
鸡	雞
鸡	鷄
考	攷
雇	僱
槁	薧
库	庫
蛊	蠱
裤	褲
诂	詁
诰	誥
钴	鈷
铐	銬
锆	鋯
锢	錮
顾	顧
鸪	鴣
谷	穀
喾	嚳
毂	轂
鹄	鵠
衮	袞
困	睏
滚	滾
绲	緄
辊	輥
锟	錕
阃	閫
鲧	鯀
鲲	鯤
鹘	鶻
杠	槓
巩	鞏
筇	笻
贡	貢
赣	贛
龚	龔
夸	誇
伙	夥
剐	剮
埚	堝
挝	撾
课	課
过	過
锅	鍋
锞	錁
颗	顆
骒	騍
椁	槨
毋	毌
关	關
宽	寬
惯	慣
掼	摜
绾	綰
观	觀
贯	貫
馆	館
髋	髖
鹳	鸛
刮	颳
鸹	鴰
匡	劻
广	廣
圹	壙
旷	曠
犷	獷
矿	礦
纩	纊
诓	誆
诳	誑
邝	鄺
挂	掛
拐	枴
呙	咼
诖	詿
坏	壞
块	塊
蒉	蕢
帼	幗
掴	摑
蝈	蟈
轰	轟
闳	閎
乔	喬
侨	僑
啮	嚙
娇	嬌
峤	嶠
挢	撟
搅	攪
桥	橋
矫	矯
硗	磽
绞	絞
翘	翹
胶	膠
荞	蕎
跷	蹺
轿	轎
较	較
铰	鉸
饺	餃
骄	驕
鲛	鮫
球	毬
扣	釦
苟	茍
伛	傴
区	區
厩	廄
呕	嘔
够	夠
妪	嫗
屦	屨
岖	嶇
巯	巰
惧	懼
抠	摳
旧	舊
构	構
构	搆
欧	歐
殴	毆
沟	溝
沤	漚
瓯	甌
窭	窶
缑	緱
觏	覯
讴	謳
购	購
赇	賕
躯	軀
钆	釓
钩	鉤
阄	鬮
飓	颶
驱	驅
驹	駒
鸠	鳩
鸥	鷗
鸲	鴝
龟	龜
曲	麯
局	跼
局	侷
局	挶
国	國
锔	鋦
军	軍
皲	皸
诎	詘
宫	宮
穷	窮
卷	捲
蜷	踡
劝	勸
权	權
绻	綣
锩	錈
颧	顴
阙	闕
鳜	鱖
匦	匭
匮	匱
愦	憒
柜	櫃
溃	潰
篑	簣
缋	繢
诡	詭
轨	軌
馈	饋
馈	餽
刿	劌
归	歸
贵	貴
妫	媯
岿	巋
窍	竅
窥	窺
纠	糾
规	規
闺	閨
匀	勻
钧	鈞
克	剋
剧	劇
极	極
枣	棘
卺	巹
筋	觔
仅	僅
觐	覲
谨	謹
馑	饉
锦	錦
汲	伋
级	級
给	給
