乗	乘
乱	亂
亜	亞
仏	佛
来	來
併	倂
仮	假
伝	傳
偽	僞
価	價
倹	儉
児	兒
両	兩
両	輛
剰	剩
剣	劍
剤	劑
労	勞
勲	勳
励	勵
勧	勸
区	區
巻	卷
即	卽
参	參
単	單
厳	嚴
嘱	囑
圏	圈
国	國
囲	圍
円	圓
図	圖
団	團
増	增
堕	墮
圧	壓
塁	壘
壊	壞
壌	壤
壮	壯
壱	壹
寿	壽
奥	奧
奨	奬
嬢	孃
学	學
寝	寢
実	實
写	寫
寛	寬
宝	寶
将	將
専	專
対	對
届	屆
属	屬
峡	峽
岳	嶽
巌	巖
岩	巖
巣	巢
帯	帶
并	幷
廃	廢
広	廣
庁	廳
弾	彈
弥	彌
径	徑
従	從
徴	徵
徳	德
恒	恆
恵	惠
悪	惡
悩	惱
慎	愼
惨	慘
応	應
懐	懷
恋	戀
戦	戰
戯	戲
戻	戾
払	拂
抜	拔
拝	拜
挟	挾
挿	插
掲	揭
揺	搖
捜	搜
択	擇
撃	擊
担	擔
拠	據
挙	擧
拡	擴
摂	攝
収	收
効	效
叙	敍
勅	敕
教	敎
数	數
断	斷
既	旣
晩	晚
昼	晝
暦	曆
暁	曉
曽	曾
会	會
条	條
桟	棧
栄	榮
概	槪
楽	樂
楼	樓
枢	樞
様	樣
横	橫
検	檢
桜	櫻
権	權
欧	歐
歓	歡
歩	步
歴	歷
帰	歸
残	殘
殻	殼
殴	毆
毎	每
気	氣
渉	涉
涙	淚
浄	淨
清	淸
浅	淺
渇	渴
渓	溪
温	溫
滞	滯
満	滿
潜	潛
渋	澁
沢	澤
湿	濕
済	濟
浜	濱
滝	瀧
瀬	瀨
湾	灣
灯	燈
焼	燒
営	營
炉	爐
争	爭
為	爲
犠	犧
状	狀
狭	狹
独	獨
猟	獵
獣	獸
献	獻
瓶	甁
画	畵
画	劃
当	當
畳	疊
痩	瘦
痴	癡
発	發
盗	盜
尽	盡
真	眞
研	硏
砕	碎
秘	祕
禅	禪
礼	禮
称	稱
稲	稻
穂	穗
穏	穩
窃	竊
並	竝
粋	粹
糸	絲
経	經
緑	綠
緒	緖
縁	緣
県	縣
縦	縱
総	總
縄	繩
絵	繪
継	繼
続	續
繊	纖
欠	缺
缶	罐
声	聲
聡	聰
聴	聽
粛	肅
脳	腦
胆달	膽
臓	臟
台	臺
台	颱
与	與
旧	舊
艶.	艷
荘	莊
茎	莖
莱	萊
万	萬
薫	薰
蔵	藏
芸	藝
薬	藥
処	處
虚	虛
号	號
蛍	螢
虫	蟲
蚕	蠶
蛮	蠻
衛	衞
装	裝
褒	襃
覚	覺
覧	覽
観	觀
触	觸
謡	謠
証	證
訳	譯
誉	譽
読	讀
変	變
譲	讓
豊	豐
予	豫
弐	貳
売	賣
頼	賴
賛	贊
践	踐
軽	輕
転	轉
弁	辨
弁	瓣
弁	辯
辞	辭
遥	遙
逓	遞
遅	遲
辺	邊
郎	郞
郷	鄕
酔	醉
医	醫
醸	釀
釈	釋
録	錄
銭	錢
錬	鍊
鎮	鎭
鉄	鐵
鋳	鑄
鉱	鑛
関	關
陥	陷
随	隨
険	險
隠	隱
双	雙
雑	雜
覇	霸
霊	靈
青	靑
静	靜
顕	顯
翻	飜
余	餘
餅	餠
騒	騷
駆	驅
験	驗
駅	驛
髄	髓
体	體
髪	髮
闘	鬪
闘	鬭
鶏	鷄
塩	鹽
麦	麥
麺	麵
黄	黃
黒	黑
黙	默
点	點
党	黨
斉	齊
斎	齋
歯	齒
齢	齡
竜	龍
亀	龜
