# https://www.data.go.kr/data/15013205/standard.do

역사명	한자역사명
부평삼거리	富平三거리
간석오거리	間石五거리
인천시청	仁川市廳
예술회관	藝術會館
인천터미널	仁川터미널
문학경기장	文鶴競技場
선학	仙鶴
신연수	新延壽
원인재	源仁齋
동춘	東春
동막	東幕
캠퍼스타운	-
테크노파크	-
임학	林鶴
계산	桂山
경인교대입구	京仁敎大入口
작전	鵲田
갈산	葛山
부평구청	富平區廳
부평시장	富平市場
부평	富平
동수	東樹
장산역	山
동대문역사문화공원	東大門歷史文化公園
신당	新堂
상왕십리	上往十里
왕십리	往十里
한양대	漢陽大
뚝섬	纛島
성수	聖水
건대입구	建大入口
구의	九宜
강변	江邊
잠실나루	蠶室渡口
잠실	蠶室
정평	正坪
임당	林堂
영남대	嶺南大
칠곡경대병원	漆谷 慶大病院
학 정	鶴亭
팔 거	八거
동 천	東川
칠곡운암	漆谷雲岩
구 암	鳩岩
태 전	太田
매 천	梅川
매천시장	梅川市場
팔 달	八達
공 단	工團
만 평	萬坪
팔달시장	八達市場
안평역	安平
고촌역	古村
동부산대학역	東釜山大學
영산대역	靈山大
석대역	石坮
반여농산물시장역	盤如農産物市場
금사역	錦絲
서동역	書洞
명장역	鳴藏
충렬사역	忠烈祠
낙민역	樂民
수안역	壽安
동래역(4호선)	東萊
미남역(4호선)	美南
대저역	大渚
체육공원역	體育公園
강서구청역	江西區廳
구포역	龜浦
덕천역(3호선)	德川
숙등역	淑嶝
남산정역	南山亭
만덕역	萬德
미남역(3호선)	美南
사직역	社稷
종합운동장역	綜合運動場
거제역	巨堤
연산역(3호선)	蓮山
물만골역	水滿谷
배산역	盃山
망미역	望美
수영역(3호선)	水營
양산역	梁山
남양산역	南梁山
부산대양산캠퍼스역	釜山大梁山Campus
증산역	甑山
호포역	湖浦
금곡역	金谷
동원역	東院
율리역	栗里
화명역	華明
수정역	水亭
덕천역(2호선)	德川
구명역	龜明
구남역	龜南
모라역	毛羅
모덕역	毛德
덕포역	德浦
사상역	沙上
감전역	甘田
주례역	周禮
냉정역	冷井
개금역	開琴
동의대역	東義大
가야역	伽倻
부암역	釜岩
서면역(2호선)	西面
전포역	田浦
국제금융센터부산은행역	釜山國際金融中心·釜山銀行
문현역	門峴
지게골역	支架谷
못골역	池谷
대연역	大淵
경성대부경대역	慶星大釜慶大
남천역	南川
금련산역	金蓮山
광안역	廣安
수영역	水營
민락역	民樂
센텀시티역	Centum City
시립미술관역	市立美術館
동백역	冬柏
해운대역	海雲臺
중동역	中洞
장산역	山
노포역	老圃
범어사역	梵魚寺
남산역	南山
두실역	斗實
구서역	久瑞
장전역	長箭
부산대역	釜山大學校
온천장역	溫泉場
명륜역	明倫
동래역	東萊
교대역	釜山敎育大學校
연산역	蓮山
시청역	市廳
양정역	楊亭
부전역	釜田
서면역(1호선)	西 面
범내골역	凡內谷
범일역	凡一
좌천역	佐川
부산진역	釜山鎭
초량역	草梁
원 대	院垈
북구청	北區廳
달성공원	達城公園
서문시장	西門市場
청라언덕	靑蘿坡
남 산	南山
명 덕	明德
건들바위	없음
대봉교	大鳳橋
수성시장	壽城市場
수성구민운동장	壽城區民運動場
어린이회관	없음
황 금	黃金
수성못	없음
지 산	池山
범 물	凡勿
용 지	龍池
부산역	釜山驛
중앙역	中央
남포역	南浦
자갈치역	札其
토성역	土城
동대신역	東大新
서대신역	西大新
대티역	大峙
괴정역	槐亭
사하역	沙下
당리역	堂里
하단역	下端
녹동역	鹿洞
소태역	所台
학동증심사입구역	鶴洞ㆍ證心寺入口
남광주역	南光州
문화전당역(구도청)	文化殿堂
금남로4가역	錦南路4街
금남로5가역	錦南路5街
양동시장역	良洞市場
돌고개역	해당사항 없음
농성역	農城
화정역	花亭
쌍촌역	雙村
운천역	云泉
상무역	尙武
김대중컨벤션센터(마륵)역	馬勒
신평역	新平
동매역	東 山
장림역	長林
신장림역	新長林
낫개역	羅 浦
다대포항역	多大浦港
다대포해수욕장	多大浦海水浴場
서울역	首爾站
시청	市廳
종각	鐘閣
종로3가	鍾路三街
종로5가	鐘路五街
공항역	空港
송정공원역	松汀公園
광주송정역	光州松汀站
도산역	道山
평동역	平洞
발곡	鉢谷
회룡	回龍
범골	
경전철의정부	輕電鐵議政府
의정부시청	議政府市廳
흥선	興宣
의정부중앙	議政府中央
동오	東梧
새말	
경기도청북부청사	京畿道廳北部廳舍
효자	孝子
곤제	昆弟
어룡	魚龍
송산	松山
부산원동역	釜山院洞
임진강역	臨津江
서울역(경의선)	
신촌역	新 村
가좌역	加 佐
효창공원앞역	孝昌公圓앞
공덕역	孔德
서강대역	西江大
홍대입구역	弘大入口
디지털미디어시티역	디지털미디어시티
수색역	水 色
화전역	花 田
강매역	江 梅
행신역	幸 信
능곡역	陵 谷
곡산역	谷 山
백마역	白 馬
풍산역	楓山
일산역	一 山
탄현역	炭 峴
야당역	野?
왕십리역	往十里
청량리역	淸凉里
회기역	回 基
외대앞역	外大앞
신이문역	新里門
석계역	石 溪
광운대역	城 北
월계역	月 溪
녹천역	鹿 川
창동역	倉 洞
방학역	放 鶴
도봉역	道 峰
도봉산역	道峰山
망월사역	望月寺
회룡역	回 龍
의정부역	議政府
가능역	佳 陵
녹양역	綠 楊
양주역	楊 州
덕계역	德 溪
덕정역	德 亭
지행역	紙 杏
동두천중앙역	東豆川中央
보산역	保 山
