自強두天	자강두천		自尊心 強한 두 天才
내로남不	내로남불		내가 하며 로맨스, 남이 하면 不倫
金수저	금수저		
銀수저	은수저		
腦피셜	뇌피셜		腦 + Official
外界語	외계어		
歷代級	역대급		
지름神	지름신		
價性比	가성비		價格 對 性能 比率
價心比	가심비		價格 對 心理滿足度 比率
强退	강퇴		强制退場
갑雰싸	갑분싸		갑자기 雰圍氣 싸해지다
男사親	남사친		男子 사람 親舊
女사親	여사친		女子 사람 親舊
넘四壁	넘사벽		넘을 수 없는 四次元의 壁
듣보雜	듣보잡		듣도 보도 못한 雜~
文찐	문찐	Y	文化 찐따
昌烈	창렬	Y	俗語
眞摯蟲	진지충	Y	
性進國	성진국	Y	
엄親아	엄친아		엄마 親舊 아들
劣爆	열폭		劣等感 폭발
이뭐病	이뭐병	Y	이건 뭐 病身도 아니고
이生亡	이생망		이번 生은 亡했다
一코	일코		一般人 코스프레
題곧內	제곧내		題目이 곧 內容
지못未	지못미		지켜주지 못해 未安해
치麥	치맥		치킨과 麥酒
카工族	카공족		카페 工夫 族
텅帳	텅장		텅 빈 通帳
韓男	한남	Y	韓國 男子
韓男蟲	한남충	Y	
개利得	개이득		
狂클	광클		미친 듯이 클릭
得템	득템		
本캐	본캐		本 캐릭터
副캐	부캐		副 캐릭터
雷切	뇌절		
雷節	뇌절		
病맛	병맛	Y	病身 같은 맛
짤防	짤방		짤림 防止용 寫眞
킹王짱	킹왕짱		King + 王 + 짱
野民正音	야민정음		野球 갤러리 訓民正音
먹放	먹방		먹는 放送
맘蟲	맘충	Y	Mom + 蟲
똥꼬蟲	똥꼬충	Y	
給食蟲	급식충	Y	
給食體	급식체		
시발費用	시발비용	Y	
띵作	띵작		名作
嚴謹眞	엄근진		嚴格 謹嚴 眞摯
月給루팡	월급루팡		
別다줄	별다줄		別걸 다 줄이네
大有잼	대유잼		大 + 有 + 재미
自만追	자만추		自然스러운 만남 追求
리즈時節	리즈시절		
神박	신박		神奇하고 斬新하다
만반잘付	만반잘부		만나서 반가워 잘 付託해
初딩	초딩		初等學生
中딩	중딩		中學生
高딩	고딩		高等學生
眼濕	안습		眼球에 濕氣 찬다
훈男	훈남		훈훈한 男子
된장女	된장녀	Y	
차都男	차도남		차가운 都市 男子
차都女	차도녀		차가운 都市 女子
까都男	까도남		까칠한 都市 男子
까都女	까도녀		까칠한 都市 女子
率大	솔대		率直히 말해서 大舶이다
愛빼屍	애빼시		愛嬌 빼면 屍體
永苦	영고		永遠한 苦痛
國뽕	국뽕		
純살	순살		
