發音	表記	풀이
자강두천	自強두天	自尊心 強한 두 天才
내로남불	내로남不	내가 하며 로맨스, 남이 하면 不倫
금수저	金수저	
은수저	銀수저	
뇌피셜	腦피셜	腦 + Official
외계어	外界語	
역대급	歷代級	
지름신	지름神	
가성비	價性比	價格 對 性能 比率
가심비	價心比	價格 對 心理滿足度 比率
강퇴	强退	强制退場
갑분싸	갑雰싸	갑자기 雰圍氣 싸해지다
남사친	男사親	男子 사람 親舊
여사친	女사親	女子 사람 親舊
넘사벽	넘四壁	넘을 수 없는 四次元의 壁
듣보잡	듣보雜	듣도 보도 못한 雜~
문찐	文찐	文化 찐따
창렬	昌烈	俗語
진지충	眞摯蟲	
성진국	性進國	
엄친아	엄親아	엄마 親舊 아들
열폭	劣爆	劣等感 폭발
이뭐병	이뭐病	이건 뭐 病身도 아니고
이생망	이生亡	이번 生은 亡했다
일코	一코	一般人 코스프레
제곧내	題곧內	題目이 곧 內容
지못미	지못未	지켜주지 못해 未安해
치맥	치麥	치킨과 麥酒
카공족	카工族	카페 工夫 族
텅장	텅帳	텅 빈 通帳
한남	韓男	韓國 男子
한남충	韓男蟲	
개이득	개利得	
광클	狂클	미친 듯이 클릭
득템	得템	
본캐	本캐	本 캐릭터
부캐	副캐	副 캐릭터
뇌절	雷切	
뇌절	雷節	
병맛	病맛	病身 같은 맛
짤방	짤防	짤림 防止용 寫眞
킹왕짱	킹王짱	King + 王 + 짱
야민정음	野民正音	野球 갤러리 訓民正音
먹방	먹放	먹는 放送
맘충	맘蟲	Mom + 蟲
똥꼬충	똥꼬蟲	
급식충	給食蟲	
급식체	給食體	
시발비용	시발費用	
띵작	띵作	名作
엄근진	嚴謹眞	嚴格 謹嚴 眞摯
월급루팡	月給루팡	
별다줄	別다줄	別걸 다 줄이네
대유잼	大有잼	大 + 有 + 재미
자만추	自만追	自然스러운 만남 追求
리즈시절	리즈時節	
신박	神박	神奇하고 斬新하다
만반잘부	만반잘付	만나서 반가워 잘 付託해
초딩	初딩	初等學生
중딩	中딩	中學生
고딩	高딩	高等學生
안습	眼濕	眼球에 濕氣 찬다
훈남	훈男	훈훈한 男子
된장녀	된醬女	
차도남	차都男	차가운 都市 男子
차도녀	차都女	차가운 都市 女子
까도남	까都男	까칠한 都市 男子
까도녀	까都女	까칠한 都市 女子
솔대	率大	率直히 말해서 大舶이다
애빼시	愛빼屍	愛嬌 빼면 屍體
영고	永苦	永遠한 苦痛
국뽕	國뽕	
순살	純살	
